Department,Failure Rate,Number of Users,Campaign Count,Campaign Failures,Drive By Campaign Failure Rate,Data Entry Campaign Failure Rate,Attachment Campaign Failure Rate
Fac Serv Charleston,8.80%,21,10,13,7.70%,2.90%,23.80%
PI Damage Prevention,8.80%,10,10,6,11.90%,6.30%,0.00%
Rec&Delivery FCST,8.80%,9,10,6,4.80%,11.10%,25.00%
IR - CA Liquids,8.80%,9,10,5,2.80%,15.40%,25.00%
BL Area-ANRP,8.80%,30,10,19,6.10%,5.50%,26.70%
MA Mooreland Area,8.70%,26,10,17,6.70%,4.00%,26.90%
Prj Service Ctrls CA,8.60%,11,10,7,7.80%,0.00%,30.00%
SEOA7: Bus Ops,8.60%,35,10,23,5.90%,3.10%,31.40%
CGL Proj Implement,8.60%,5,10,3,13.60%,0.00%,0.00%
SEOA3: Bus Ops,8.60%,33,10,19,7.10%,4.00%,21.90%
ELIR ENV GAS PROJECT,8.40%,37,10,22,6.60%,3.30%,24.30%
CA Pipe Reg Research,8.30%,3,10,2,6.70%,16.70%,0.00%
CLFO Reg MGT Ppl,8.30%,4,8,2,0.00%,16.70%,25.00%
E&L Land Serv- East,8.30%,27,10,16,5.80%,11.40%,14.80%
Security & HSSEM,8.30%,3,8,2,0.00%,16.70%,33.30%
US Midstrm Ops,8.30%,12,10,8,9.80%,4.30%,8.30%
USNG GPMC East,8.30%,4,7,2,14.30%,0.00%,0.00%
Weld&Material Eng US,8.30%,3,8,2,6.70%,0.00%,33.30%
Liq SE Mechanical,8.10%,6,10,3,0.00%,12.50%,33.30%
USNG SVP Executive,8.10%,7,10,3,8.30%,0.00%,14.30%
KXL Facilities US,8.10%,96,10,40,4.80%,7.50%,20.20%
SE Regional Mmgt Ops,8.10%,19,10,12,4.30%,5.60%,31.60%
USNG GMPC East,8.00%,3,9,2,6.30%,16.70%,0.00%
Land Law,7.90%,7,10,3,4.00%,0.00%,33.30%
Land-CA Liquids-Proj,7.90%,10,10,6,8.00%,6.30%,10.00%
Liq. SE FieldProj US,7.90%,5,9,3,13.00%,0.00%,0.00%
Reed City-ANRP,7.90%,32,10,19,6.50%,1.70%,26.70%
Dakota Area (People),7.80%,23,10,13,3.90%,7.10%,27.30%
Gas Proj Project MX,7.80%,270,10,159,5.30%,3.40%,27.50%
CLFO Nistowaya Ppl,7.70%,23,10,13,5.50%,8.30%,17.40%
USNG Plan&Cost Acctg,7.70%,26,10,16,8.30%,2.00%,15.40%
CGO CP Proj and Eng,7.70%,30,10,16,4.00%,5.60%,27.60%
HR Rgn Mgmt Ops,7.70%,4,10,2,6.30%,0.00%,25.00%
HR Talent Acq CA,7.70%,10,10,5,7.30%,0.00%,20.00%
SC Advanced Analytic,7.70%,10,10,6,6.30%,5.00%,20.00%
US Tech Serv Mgmt,7.60%,18,10,10,4.80%,9.70%,16.70%
Corporate Treasury,7.40%,11,10,7,3.30%,4.50%,36.40%
E&L ES Air Permitt,7.40%,15,10,9,5.30%,3.30%,26.70%
Credit&Contract West,7.40%,7,10,4,3.00%,7.10%,28.60%
ELIR Mgmt Services,7.40%,4,8,2,5.90%,0.00%,25.00%
MGO East Region,7.40%,14,10,8,1.50%,0.00%,50.00%
SCP US Contract Mgmt,7.30%,16,10,8,6.00%,3.80%,18.80%
CR&State Ext Aff US,7.30%,7,8,3,8.00%,0.00%,16.70%
MM Head Office,7.20%,9,10,5,6.80%,12.50%,0.00%
Calgary CDN Taxation,7.20%,11,10,6,7.70%,0.00%,18.20%
Houston Inc Tax Gas,7.20%,22,10,11,3.20%,2.80%,31.80%
USNG XP Proj Clse US,7.20%,44,10,23,4.50%,13.20%,9.10%
COA4: Bus Ops,7.20%,33,10,18,7.10%,3.10%,15.20%
CGO Program Mgmt,7.10%,9,10,4,5.70%,0.00%,22.20%
Safety Excellence,7.10%,3,7,1,11.10%,0.00%,0.00%
SEOA2: Bus Ops,7.10%,33,10,16,5.60%,8.20%,12.10%
PI Data Engineering,7.10%,13,10,6,5.70%,10.00%,8.30%
USSM Optimization,7.00%,5,10,3,7.10%,0.00%,20.00%
NEOA5: Bus Ops,6.90%,27,10,15,4.30%,7.70%,18.50%
Lit & Empl Law US,6.90%,4,8,2,0.00%,0.00%,50.00%
SC Liquids Ops,6.90%,4,8,2,0.00%,14.30%,25.00%
Gas Proj  Op Plan CA,6.90%,17,10,9,9.90%,0.00%,6.30%
COA6: Bus Ops,6.80%,28,10,15,2.20%,5.70%,32.10%
EOA4: Bus Ops,6.80%,23,10,12,2.70%,2.40%,34.80%
NSIT FIELD&NTWK CA,6.80%,6,8,3,7.70%,0.00%,16.70%
CGORMR Battle River,6.80%,22,10,11,4.90%,2.60%,22.70%
North Lakes-GLGT Peo,6.70%,22,10,11,5.80%,5.30%,13.60%
Expat - Other,6.70%,2,8,1,0.00%,25.00%,0.00%
HR Payroll and Ops,6.70%,9,10,5,6.00%,6.30%,11.10%
HR Shared Serv US,6.70%,4,9,2,0.00%,25.00%,0.00%
MX Commercial Serv,6.70%,4,8,2,0.00%,12.50%,25.00%
SCE Management,6.70%,2,8,1,0.00%,0.00%,50.00%
US Midstrm Mgmt,6.70%,4,10,2,10.00%,0.00%,0.00%
Land & Permit Law MX,6.60%,32,10,16,5.90%,1.80%,18.80%
USNG Enviro P&P–East,6.60%,12,10,6,1.80%,16.70%,8.30%
Reg Compliance US,6.60%,20,10,10,6.30%,2.70%,15.00%
Mexico Exec Admin,6.60%,10,9,4,4.80%,0.00%,20.00%
CA Commodity Tax,6.50%,6,10,3,3.40%,9.10%,16.70%
HR Employe Center CA,6.50%,15,10,6,3.60%,9.10%,14.30%
ELIR ENV P&P,6.50%,10,10,5,2.10%,15.00%,10.00%
Enviro Services West,6.50%,10,9,5,2.10%,0.00%,40.00%
SEOA6: Bus Ops,6.40%,29,10,15,4.80%,1.70%,24.10%
CLFO Parkland Ppl,6.40%,34,10,15,5.50%,3.60%,15.60%
USNG Land Serv West,6.40%,20,10,10,5.00%,0.00%,25.00%
Lafayette-Onshore,6.30%,26,10,13,3.90%,0.00%,30.80%
BUIT MX IT SERVICES,6.30%,10,10,5,6.00%,0.00%,20.00%
USNG GPMC East Mod,6.30%,73,10,34,3.30%,6.10%,21.10%
BWR-South People,6.30%,26,10,13,3.80%,7.70%,15.40%
CA Pipes Credits,6.30%,8,10,4,5.00%,0.00%,25.00%
CPO Op Service Mgmt,6.30%,4,10,2,0.00%,0.00%,50.00%
Energy & Liquids Law,6.30%,2,9,1,10.00%,0.00%,0.00%
Executive Admin - US,6.30%,2,8,1,0.00%,25.00%,0.00%
Fncl Acctg&projs,6.30%,2,9,1,10.00%,0.00%,0.00%
MM WarehouseUS AR&SA,6.30%,7,10,3,6.50%,0.00%,14.30%
Proc Saf & Eng Gov,6.30%,8,10,4,7.10%,0.00%,12.50%
Risk & Eng- Dir,6.30%,2,8,1,0.00%,25.00%,0.00%
Risk Management,6.30%,2,9,1,0.00%,0.00%,50.00%
US Rewards & HR Serv,6.30%,6,8,2,0.00%,0.00%,40.00%
HR BU Consulting US,6.20%,15,10,7,7.10%,7.10%,0.00%
Document Management,6.20%,34,10,16,6.70%,3.20%,8.80%
CGO AirdrieEquip,6.20%,8,10,4,7.30%,0.00%,12.50%
E&L LS Record Mgmt,6.10%,16,10,7,1.40%,11.50%,18.80%
ELIR Land CA Gas Pip,6.10%,24,10,11,6.30%,2.20%,12.50%
CGO Program Planning,6.10%,29,10,12,5.10%,6.00%,10.30%
USNG Growth & Devel,6.00%,59,10,28,4.10%,7.10%,13.60%
IS END USER COMP CA,6.00%,10,10,5,5.70%,0.00%,20.00%
Comm Serv & Des Mgmt,6.00%,6,10,3,6.30%,0.00%,16.70%
EITS PI&GIS SERV CA,6.00%,23,10,9,3.20%,8.80%,14.30%
USNG Marketing West,6.00%,7,8,3,0.00%,7.70%,28.60%
Gas Proj Saddle West,6.00%,15,10,7,0.00%,3.30%,40.00%
Land-CA Gas BU-Proj,6.00%,18,10,8,6.00%,0.00%,16.70%
USTS CoreReliability,6.00%,17,10,8,5.70%,3.30%,11.80%
EIT SAP DELIVERY,5.90%,7,10,3,0.00%,8.30%,28.60%
Health Safety & Env,5.90%,11,8,4,4.80%,0.00%,20.00%
IS BU IT Services,5.90%,2,10,1,9.10%,0.00%,0.00%
MM Warehouse US WM,5.90%,2,10,1,0.00%,0.00%,50.00%
Ops Engineering MX,5.90%,12,10,5,3.90%,9.10%,8.30%
SC Category Mgmt,5.90%,2,10,1,0.00%,0.00%,50.00%
SEOA4: Bus Ops,5.90%,36,10,16,4.10%,3.00%,19.40%
CGL Project Services,5.80%,54,10,22,4.20%,1.10%,20.80%
CGO Welding & HotTap,5.70%,11,10,5,3.70%,9.10%,9.10%
USNG GPMC West,5.70%,92,10,39,2.70%,5.70%,19.80%
Field Op-TCEMS Mex,5.70%,5,10,2,0.00%,0.00%,40.00%
ELIR IR CA GAS PIPE,5.70%,31,10,12,6.90%,0.00%,9.70%
USNG Comm Prj&Interc,5.70%,6,10,3,0.00%,16.70%,16.70%
