Station Name,CALGARY INTL A,,,,,,,,,,,,,,,,,,,,,,
Province,ALBERTA,,,,,,,,,,,,,,,,,,,,,,
Current Station Operator,NAV Canada,,,,,,,,,,,,,,,,,,,,,,
Latitude,51.12,,,,,,,,,,,,,,,,,,,,,,
Longitude,-114.01,,,,,,,,,,,,,,,,,,,,,,
Elevation,1099.1,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,3031092,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71877,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYC,,,,,,,,,,,,,,,,,,,,,,
All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,
NA,Not Available,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
1/2/2019 16:00,2019,1,2,16:00,10.1,,-4.1,,37,,30,,19,,64.4,,87.7,,,,,,NA
1/2/2019 17:00,2019,1,2,17:00,9.1,,-3.9,,40,,30,,22,,64.4,,87.67,,,,,,Mostly Cloudy
1/2/2019 18:00,2019,1,2,18:00,7.5,,-3.5,,46,,19,,7,,24.1,,87.65,,,,,,NA
1/2/2019 19:00,2019,1,2,19:00,9.4,,-4.2,,38,,28,,19,,24.1,,87.69,,,,,,NA
1/2/2019 20:00,2019,1,2,20:00,9.2,,-4.1,,39,,28,,26,,24.1,,87.67,,,,,,Mostly Cloudy
1/2/2019 21:00,2019,1,2,21:00,8,,-3.8,,43,,24,,18,,24.1,,87.59,,,,,,NA
1/2/2019 22:00,2019,1,2,22:00,7.6,,-4,,44,,32,,14,,24.1,,87.47,,,,,,NA
1/2/2019 23:00,2019,1,2,23:00,8.2,,-4.8,,39,,27,,50,,24.1,,87.39,,,,,,Mainly Clear
1/3/2019 0:00,2019,1,3,0:00,7.5,,-4.8,,41,,31,,43,,24.1,,87.48,,,,,,NA
1/3/2019 1:00,2019,1,3,1:00,7.6,,-5.3,,40,,27,,13,,24.1,,87.48,,,,,,NA
1/3/2019 2:00,2019,1,3,2:00,7.3,,-5.2,,40,,26,,14,,24.1,,87.56,,,,,,Mainly Clear
