Line,Milepost_KM,CenterlineElevation_m,Comment,WallThickness,OutsideDiameter,WallRoughness,LocationType,LocationTag,Location,InnerPipeRadius_m,SegmentVolume_M3
Keystone,2224.610037,422.737788,Estimated valve location,9.8,762,0.00004572,Valve,WLBER+09-9-A0,WLBER,0.3712,20372.19482
Keystone,2271.672214,419.7437376,STLCT,9.8,762,0.00004572,Pump Station,STLCT-A0,STLCT,0.3712,7649.678005
Keystone,2289.343874,395.0369544,Estimated valve location,9.8,762,0.00004572,Valve,STLCT+17-7-A0,STLCT,0.3712,11754.95072
Keystone,2316.499199,419.2551432,Estimated valve location,9.8,762,0.00004572,Valve,STLCT+44-8-A0,STLCT,0.3712,16951.75981
Keystone,2355.659767,331.110336,SNECA,9.8,762,0.00004572,Pump Station,SNECA-A0,SNECA,0.3712,4319.172593
Keystone,2365.637566,382.4980917,Estimated valve location,9.8,762,0.00004572,Valve,SNECA+09-8-A0,SNECA,0.3712,30837.21194
Keystone,2436.875169,319.1813784,SVRNC,9.8,762,0.00004572,Pump Station,SVRNC-A0,SVRNC,0.3712,843.8776174
Keystone,2438.824626,274.2724509,Estimated valve location,9.8,762,0.00004572,Valve,SVRNC+02-1-A0,SVRNC,0.3712,6124.978933
Keystone,2452.974051,240.1967256,Estimated valve location,9.8,762,0.00004572,Valve,SVRNC+16-6-A0,SVRNC,0.3712,24465.56468
Keystone,2509.492396,312.4044552,TRNEY,9.8,762,0.00004572,Pump Station,TRNEY-A0,TRNEY,0.3712,9725.817272
Keystone,2531.960183,289.1341944,Estimated valve location,9.8,762,0.00004572,Valve,TRNEY+22-5-A0,TRNEY,0.3712,21989.0026
Keystone,2582.757377,217.9667472,TINAP,9.8,762,0.00004572,Pump Station,TINAP-A0,TINAP,0.3712,4535.200505
Keystone,2593.234226,234.3491373,Estimated valve location,9.8,762,0.00004572,Valve,TINAP+10-3-A0,TINAP,0.3712,8631.287539
Keystone,2613.17352,223.973136,Estimated valve location,9.8,762,0.00004572,Valve,TINAP+30-5-A0,TINAP,0.3712,11685.05819
Keystone,2640.167385,202.6514616,SLBRY,9.8,762,0.00004572,Pump Station,SLBRY-A0,SLBRY,0.3712,8272.393774
Keystone,2659.277592,203.8225032,Estimated valve location,9.8,762,0.00004572,Valve,SLBRY+19-1-A0,SLBRY,0.3712,15766.52822
Keystone,2695.700135,259.960872,CNTRL,9.8,762,0.00004572,Pump Station,CNTRL-A0,CNTRL,0.3712,9602.249566
Keystone,2717.882466,249.0435456,Estimated valve location,9.8,762,0.00004572,Valve,CNTRL+19-5-A0,CNTRL,0.3712,22275.98489
Keystone,2769.342623,240.4244112,MDLTP,9.8,762,0.00004572,Pump Station,MDLTP-A0,MDLTP,0.3712,10237.94389
Keystone,2792.993483,195.1597824,Estimated valve location,9.8,762,0.00004572,Valve,MDLTP+23-6-A0,MDLTP,0.3712,14071.11797
Keystone,2825.499428,146.813016,SNTPL,9.8,762,0.00004572,Pump Station,SNTPL-A0,SNTPL,0.3712,9052.469027
Keystone,2846.411701,130.5714432,Estimated valve location,9.8,762,0.00004572,Valve,SNTPL+20-9-A0,SNTPL,0.3712,6476.357498
Keystone,2861.372852,131.7184053,Estimated valve location,9.8,762,0.00004572,Valve,SNTPL+36-1-A0,SNTPL,0.3712,15691.05416
Keystone,2897.621041,128.7661125,HRTFD,9.8,762,0.00004572,Pump Station,HRTFD-A0,HRTFD,0.3712,9771.850848
Keystone,2920.195171,154.1199861,Estimated valve location,9.8,762,0.00004572,Valve,HRTFD+22-0-A0,HRTFD,0.3712,9105.61566
Keystone,2941.230219,165.387528,PEROP,9.8,762,0.00004572,Pump Station,PEROP-A0,PEROP,0.3712,6847.555828
Keystone,2957.048882,154.4552664,Estimated valve location,9.8,762,0.00004572,Valve,PEROP+15-8-A0,PEROP,0.3712,0
Cushing,0,420.5910816,STLCB,11.8,914.4,0.00004572,Pump Station,STLCB-B0,STLCB,0.4454,37223.82514
Cushing,59.727,385.530852,320-STLCB-02A-BO-MLV-01,11.8,914.4,0.00004572,Valve,STLCB-02A-B0,STLCB,0.4454,12723.92074
Cushing,80.143,386.4458616,RILEY,11.8,914.4,0.00004572,Pump Station,RILEY B0,RILEY,0.4454,18230.18248
Cushing,109.394,381.614172,320-RILEY-02A-BO-MLV-01,11.8,914.4,0.00004572,Valve,RILEY-02A-B0,RILEY,0.4454,27657.20174
Cushing,153.771,419.4087624,HOPEP,11.8,914.4,0.00004572,Pump Station,HOPEP-B0,HOPEP,0.4454,7473.807676
Cushing,165.763,443.002416,320-HOPEP-01A-BO-MLV-01,11.8,914.4,0.00004572,Valve,HOPEP-01A-B0,HOPEP,0.4454,41885.60644
Cushing,232.97,427.29912,BURNS,11.8,914.4,0.00004572,Pump Station,BURNS-B0,BURNS,0.4454,22362.21591
Cushing,268.851,390.101328,320-BURNS-01A-BO-MLV-01,11.8,914.4,0.00004572,Valve,BURNS-01A-B0,BURNS,0.4454,21275.29792
Cushing,302.988,364.8749522,ROCKP,11.8,914.4,0.00004572,Pump Station,ROCKP-B0,ROCKP,0.4454,9028.150266
Cushing,317.474,362.01096,320-ROCKP-01A-BO-MLV-01,11.8,914.4,0.00004572,Valve,ROCKP-01A-B0,ROCKP,0.4454,26484.90085
Cushing,359.97,330.43368,320-ROCKP-03A-BO-MLV-01,11.8,914.4,0.00004572,Valve,ROCKP-03A-B0,ROCKP,0.4454,13223.13021
Cushing,381.187,286.950912,320-ROCKP-04A-BO-MLV-01,11.8,914.4,0.00004572,Valve,ROCKP-04A-B0,ROCKP,0.4454,7759.248296
Cushing,393.637,290.7225072,PNCCP,11.8,914.4,0.00004572,Pump Station,PNCCP-B0,PNCCP,0.4454,37344.7323
Cushing,453.558,286.8168,320-PNCCP-02A-BO-MLV-01,11.8,914.4,0.00004572,Valve,PNCCP-02A-B0,PNCCP,0.4454,16066.94145
