"Station Name","CALGARY INTL A"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","51.12"
"Longitude","-114.01"
"Elevation","1099.10"
"Climate Identifier","3031092"
"WMO Identifier","71877"
"TC Identifier","YYC"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-04-03 05:00","2019","04","03","05:00","-2.1","","-6.5","","72","","22","","8","","24.1","","88.18","","","","-5","","Mainly Clear"
"2019-04-03 06:00","2019","04","03","06:00","-2.6","","-7.1","","71","","21","","10","","64.4","","88.16","","","","-6","","NA"
"2019-04-03 07:00","2019","04","03","07:00","-1.5","","-6.5","","68","","22","","10","","64.4","","88.16","","","","-5","","NA"
"2019-04-03 08:00","2019","04","03","08:00","1.3","","-6.3","","57","","22","","7","","64.4","","88.14","","","","","","Cloudy"
"2019-04-03 09:00","2019","04","03","09:00","3.6","","-5.9","","50","","9","","4","","48.3","","88.12","","","","","","NA"
"2019-04-03 10:00","2019","04","03","10:00","6.0","","-5.9","","42","","36","","3","","48.3","","88.09","","","","","","NA"
"2019-04-03 11:00","2019","04","03","11:00","8.4","","-6.8","","33","","36","","2","","48.3","","88.08","","","","","","Cloudy"
"2019-04-03 12:00","2019","04","03","12:00","8.8","","-6.0","","35","","13","","8","","48.3","","88.04","","","","","","NA"
"2019-04-03 13:00","2019","04","03","13:00","10.8","","-6.8","","28","","13","","13","","48.3","","88.00","","","","","","NA"
"2019-04-03 14:00","2019","04","03","14:00","10.1","","-7.2","","29","","14","","15","","64.4","","87.97","","","","","","Cloudy"
"2019-04-03 15:00","2019","04","03","15:00","11.9","","-8.0","","24","","13","","14","","64.4","","87.93","","","","","","NA"
